iter	Passed	Remaining
351	1060633	1952530
352	1063765	1949733
353	1066783	1946729
354	1069788	1943699
355	1072599	1940319
356	1076737	1939333
357	1079903	1936586
358	1082668	1933120
359	1085229	1929296
360	1088493	1926723
361	1091879	1924362
362	1094850	1921266
363	1097572	1917736
364	1100900	1915265
365	1104370	1913034
366	1106866	1909118
367	1110473	1907118
368	1113469	1904062
369	1116005	1900225
370	1120232	1899262
371	1122960	1895751
372	1125591	1892079
373	1128505	1888888
374	1131363	1885606
375	1134420	1882655
376	1138336	1881123
377	1141065	1877625
378	1143967	1874417
379	1147224	1871786
380	1150226	1868740
381	1153392	1865960
382	1157050	1863968
383	1160326	1861357
384	1163604	1858744
385	1166319	1855233
386	1169470	1852416
387	1171864	1848405
388	1174896	1845403
389	1178765	1843709
390	1182383	1841615
391	1185339	1838486
392	1188281	1835336
393	1191152	1832077
394	1193858	1828568
395	1197917	1827126
396	1200578	1823548
397	1203414	1820239
398	1206955	1817995
399	1209978	1814967
400	1212921	1811820
401	1215840	1808638
402	1218701	1805372
403	1221734	1802360
404	1224754	1799330
405	1227258	1795545
406	1230586	1792968
407	1233286	1789474
408	1236604	1786878
409	1239559	1783756
410	1242754	1780979
411	1245943	1778191
412	1248921	1775101
413	1251585	1771567
414	1254594	1768524
415	1257775	1765723
416	1260583	1762398
417	1263639	1759420
418	1266651	1756383
419	1270238	1754139
420	1273317	1751189
421	1275991	1747685
422	1279213	1744931
423	1281666	1741131
424	1284370	1737677
425	1287229	1734436
426	1290120	1731239
427	1293491	1728684
428	1296391	1725500
429	1299311	1722343
430	1302988	1720186
431	1306947	1718393
432	1309821	1715170
433	1313173	1712572
434	1315762	1708979
435	1318991	1706218
436	1321573	1702622
437	1324757	1699803
438	1328306	1697448
439	1331360	1694458
440	1334984	1692191
441	1338154	1689344
442	1341431	1686630
443	1345172	1684495
444	1348075	1681307
445	1351856	1679212
446	1354285	1675436
447	1356940	1671944
448	1360133	1669117
449	1363530	1666536
450	1366413	1663327
451	1369130	1659919
452	1372086	1656801
453	1374714	1653291
454	1377796	1650327
455	1380595	1647025
456	1383786	1644192
457	1386654	1640975
458	1389531	1637769
459	1392293	1634431
460	1394843	1630847
461	1398190	1628196
462	1401191	1625140
463	1404119	1622000
464	1406870	1618657
465	1410403	1616213
466	1413418	1613173
467	1416167	1609831
468	1418799	1606359
469	1421614	1603097
470	1425276	1600788
471	1429177	1598740
472	1432489	1596030
473	1435509	1592991
474	1438750	1590197
475	1442828	1588323
476	1445982	1585427
477	1448773	1582133
478	1451522	1578795
479	1454926	1576170
480	1458233	1573436
481	1461393	1570542
482	1464605	1567703
483	1468177	1565247
484	1471727	1562761
485	1474261	1559198
486	1477512	1556394
487	1480202	1552999
488	1483193	1549921
489	1486581	1547258
490	1490579	1545223
491	1493987	1542572
492	1496976	1539487
493	1499914	1536349
494	1503249	1533618
495	1506119	1530411
496	1509360	1527582
497	1512778	1524929
498	1516264	1522341
499	1519812	1519812
500	1523104	1517023
501	1525611	1513455
502	1528486	1510253
503	1531885	1507569
504	1535310	1504908
505	1538400	1501916
506	1541473	1498908
