iter	RMSE
0	197.9301362
1	189.8652204
2	182.6512138
3	176.4236215
4	171.0665343
5	166.5571233
6	162.5448982
7	159.1510407
8	156.2241655
9	153.4434226
10	151.1092191
11	148.9834784
12	147.159526
13	145.5958758
14	144.1781488
15	142.9169343
16	141.8650916
17	140.9052963
18	140.0706185
19	139.3150639
20	138.5565627
21	138.0240624
22	137.512437
23	137.0256903
24	136.4206814
25	136.0461597
26	135.4294023
27	134.8716255
28	134.4031517
29	134.1023135
30	133.6745608
31	133.451438
32	133.1303564
33	132.8713973
34	132.5888128
35	132.2269387
36	132.0231031
37	131.6175325
38	131.4649787
39	131.0406981
40	130.8851118
41	130.6375647
42	130.4664979
43	130.3040116
44	130.0468659
45	129.9434796
46	129.6349697
47	129.4010454
48	129.2423343
49	129.0954822
50	128.9540688
51	128.6944783
52	128.5467608
53	128.4055654
54	128.2549575
55	128.0547515
56	127.9274788
57	127.7754896
58	127.5977684
59	127.4709127
60	127.3395976
61	127.22321
62	127.1291052
63	127.0047341
64	126.8820364
65	126.7905357
66	126.6725794
67	126.548136
68	126.4076218
69	126.2902969
70	126.2167336
71	126.0768241
72	125.9304652
73	125.7792324
74	125.7125781
75	125.6150779
76	125.5290235
77	125.4028251
78	125.3220271
79	125.2266884
80	125.1600591
81	125.0112612
82	124.8736078
83	124.7460908
84	124.6537445
85	124.5574805
86	124.435087
87	124.3226775
88	124.1943607
89	124.1087503
90	124.0247328
91	123.9008452
92	123.8387325
93	123.7375403
94	123.649509
95	123.5733362
96	123.4925325
97	123.4042004
98	123.3436701
99	123.2552264
100	123.2058914
101	123.1537418
102	123.0168948
103	122.9575166
104	122.8859655
105	122.6775144
106	122.555657
107	122.4774209
108	122.4249815
109	122.3481991
110	122.1952687
111	122.1404904
112	122.0448221
113	121.9625994
114	121.9033819
115	121.8314149
116	121.7824395
117	121.7155672
118	121.6216469
119	121.5559317
120	121.4781723
121	121.4036462
122	121.3376549
123	121.2318089
124	121.173047
125	121.1261806
126	121.0434579
127	120.9667037
128	120.8833243
129	120.786425
130	120.7005965
131	120.6321462
132	120.5587463
133	120.4940255
134	120.4048632
135	120.3472598
136	120.2802489
137	120.2286993
138	120.1622783
139	120.0850645
140	120.0033529
141	119.9437239
142	119.8709797
143	119.8235191
144	119.7585443
145	119.7108128
146	119.6340294
147	119.597258
148	119.531423
149	119.4796779
150	119.4163393
151	119.3587326
152	119.3273905
153	119.2537532
154	119.206802
155	119.1675905
156	119.0899208
157	119.0451263
158	119.0078461
159	118.9522946
160	118.9105242
161	118.8709546
162	118.8123564
163	118.7523706
164	118.7305117
165	118.6781775
166	118.5918196
167	118.5508159
168	118.5104579
169	118.4426078
170	118.3957576
171	118.3595863
172	118.3178698
173	118.2600999
174	118.2261784
175	118.2017227
176	118.1523627
177	118.1127212
178	118.0533981
179	118.008019
180	117.96203
181	117.921213
182	117.8755353
183	117.8273041
184	117.7804285
185	117.743856
186	117.699834
187	117.6650102
188	117.598883
189	117.565789
190	117.5084054
191	117.4772687
192	117.4353223
193	117.3894958
194	117.3361056
195	117.2989372
196	117.2541152
197	117.2263776
198	117.1894354
199	117.1518014
200	117.1148721
201	117.0808902
